Ticker,Date/Time,Open,High,Low,Close,Volume
CTD,4/7/2020 0:00,38.75,39.03,36.97,38.54,318610
CTD,4/8/2020 0:00,37.61,38.54,36.97,38.25,136450
CTD,4/9/2020 0:00,37.83,39.46,37.83,38.61,191390
CTD,4/10/2020 0:00,38.39,39.11,37.68,38.04,143230
CTD,4/13/2020 0:00,38.32,38.68,37.97,38.04,144440
CTD,4/14/2020 0:00,38.04,38.18,36.26,37.68,172560
CTD,4/15/2020 0:00,37.68,40.31,37.68,40.31,549210
CTD,4/16/2020 0:00,40.31,42.8,40.31,42.23,354240
CTD,4/17/2020 0:00,43.37,44.01,42.66,43.87,397140
CTD,4/20/2020 0:00,43.87,44.79,42.52,43.87,454940
CTD,4/21/2020 0:00,41.66,42.3,40.81,40.81,535580
CTD,4/22/2020 0:00,38.47,40.74,38.47,40.31,302320
CTD,4/23/2020 0:00,40.67,41.88,39.46,40.31,217070
CTD,4/24/2020 0:00,40.17,43.09,39.46,43.09,375720
CTD,4/27/2020 0:00,43.73,45.5,43.73,45.5,467190
CTD,4/28/2020 0:00,45.15,45.86,44.08,45.36,250210
CTD,4/29/2020 0:00,44.58,45.36,44.44,44.58,243670
CTD,5/4/2020 0:00,44.44,44.58,43.37,43.37,258520
CTD,5/5/2020 0:00,43.37,43.87,42.3,43.37,181260
CTD,5/6/2020 0:00,43.37,46.36,43.37,46.36,350690
CTD,5/7/2020 0:00,46.93,48.49,46.93,47.64,340880
CTD,5/8/2020 0:00,47.78,48.49,46.5,46.57,496840
CTD,5/11/2020 0:00,47.14,47.92,46.64,47.14,288520
CTD,5/12/2020 0:00,46.93,49.06,46.29,49.06,400210
CTD,5/13/2020 0:00,49.06,51.48,47.99,50.2,482130
CTD,5/14/2020 0:00,49.7,50.27,49.06,49.06,303350
CTD,5/15/2020 0:00,49.06,50.13,47.64,47.64,420700
CTD,5/18/2020 0:00,47.99,48.78,47.21,48.7,274500
CTD,5/19/2020 0:00,48.7,50.2,48.35,48.35,333030
CTD,5/20/2020 0:00,47.42,50.05,47.42,49.56,354870
CTD,5/21/2020 0:00,49.63,50.13,48.35,49.41,274820
CTD,5/22/2020 0:00,49.41,49.7,48.35,48.42,274320
CTD,5/25/2020 0:00,48.42,48.63,47.99,48.35,207710
CTD,5/26/2020 0:00,48.92,49.7,48.21,49.27,377220
CTD,5/27/2020 0:00,49.7,52.69,49.49,52.69,1197620
CTD,5/28/2020 0:00,52.97,55.81,52.97,54.61,479930
CTD,5/29/2020 0:00,53.33,54.61,53.33,54.04,238500
CTD,6/1/2020 0:00,53.97,55.46,53.4,54.96,447410
CTD,6/2/2020 0:00,54.96,55.25,51.12,51.12,844250
CTD,6/3/2020 0:00,47.64,49.7,47.57,47.85,1537730
CTD,6/4/2020 0:00,47.85,51.19,47.85,51.19,542240
CTD,6/5/2020 0:00,51.19,53.33,51.19,52.05,323220
CTD,6/8/2020 0:00,51.19,51.76,50.48,51.12,630860
CTD,6/9/2020 0:00,50.84,50.98,49.98,50.13,453560
CTD,6/10/2020 0:00,49.06,49.7,47.99,49.34,418980
CTD,6/11/2020 0:00,49.06,51.9,47.64,47.64,596480
CTD,6/12/2020 0:00,47.64,48.99,46.93,47.99,303610
CTD,6/15/2020 0:00,47.99,48.63,44.65,44.65,383160
CTD,6/16/2020 0:00,45.5,45.5,43.8,45.36,266990
CTD,6/17/2020 0:00,45.5,45.5,44.51,44.58,120440
CTD,6/18/2020 0:00,43.02,44.65,42.45,44.51,267290
CTD,6/19/2020 0:00,44.51,46.14,44.37,45.08,178350
CTD,6/22/2020 0:00,45.5,48.21,45.5,48.21,680980
CTD,6/23/2020 0:00,51.55,51.55,50.77,51.55,2269440
CTD,6/24/2020 0:00,54.04,55.03,51.19,51.19,1194010
